year,work,title,title_narrow,venue,venue_narrow,location,location_narrow
2023,Coffee Machine,Wildeburg Festival,Wildeburg Festival,Wildeburg Festival,Wildeburg Festival,Kraggenburg (NL),Kraggenburg (NL)
2023,Coffee Machine,Graduation Show,Graduation Show,Royal Academy of Art,Royal Academy of Art,The Hague (NL),The Hague (NL)
2023,Microwave,Flipchart,Flipchart,iii Event Space,iii Event Space,The Hague (NL),The Hague (NL)
2023,Touching Distance,De Open Dag,De Open Dag,De School,De School,Amsterdam (NL),Amsterdam (NL)
2023,Touching Distance,Het Weekend,Het Weekend,De School,De School,Amsterdam (NL),Amsterdam (NL)
2023,Copy Machine / Dream Machine,Cinekid Festival,Cinekid Festival,Pathe Noord,Pathe Noord,Amsterdam (NL),Amsterdam (NL)
2023,Copy Machine / Dream Machine,Het Weekend,Het Weekend,De School,De School,Amsterdam (NL),Amsterdam (NL)
2023,Copy Machine / Dream Machine,De Groene Amsterdammer: Andere Intelligentie,Groene Amsterdammer: Andere Int.,De Waag,De Waag,Amsterdam (NL),Amsterdam (NL)
2023,Copy Machine / Dream Machine,Graduation Show,Graduation Show,Royal Academy of Art,Royal Academy of Art,The Hague (NL),The Hague (NL)
2023,Copy Machine / Dream Machine,PublicSpaces,PublicSpaces,Pakhuis de Zwijger,Pakhuis de Zwijger,Amsterdam (NL),Amsterdam (NL)
2023,Copy Machine / Dream Machine,Continuous display at Restaurant DS,Display at Restaurant DS,De School,De School,Amsterdam (NL),Amsterdam (NL)
2023,Copy Machine / Dream Machine,Drift Festival,Drift Festival,Drift Festival,Drift Festival,Nijmegen (NL),Nijmegen (NL)
2023,Copy Machine / Dream Machine,ArtScience PreShow,ArtScience PreShow,LAAK,LAAK,The Hague (NL),The Hague (NL)
2023,Copy Machine / Dream Machine,De Nieuw,De Nieuw,De School,De School,Amsterdam (NL),Amsterdam (NL)
2023,Lasers / MIDIalogue,Landjuweel Festival,Landjuweel Festival,Ruigoord,Ruigoord,Amsterdam (NL),Amsterdam (NL)
2023,Lasers / MIDIalogue,EP release Noha Sare,EP release Noha Sare,ISO Amsterdam,ISO Amsterdam,Amsterdam (NL),Amsterdam (NL)
2023,,Jan Zuiderveld, Coffee Machine and Microwave,JZ, Coffee Machine & Microwave,iii,iii,The Hague (NL),The Hague (NL)
2023,,Interview on Current Practice,Interview on Current Practice,Cross Pollination Podcast,Cross Pollination Podcast,Online (NL),Online (NL)
2023,,"Introduction to Large Language Models, Course for ArtScience Interfaculty",Intro LLMs (ArtScience),Royal Academy of Art & Royal Conservatoire,KABK & Royal Conservatoire,The Hague (NL),The Hague (NL)
2023,,"Artificial Intelligence - Beyond the Doomsday Scenarios, Back to Reality",AI – Beyond Doomsday Scenarios,"Dutch Design Week for Waag Futurelab",Dutch Design Week / Waag,Eindhoven (NL),Eindhoven (NL)
2023,,Coffee Machine Game Show,Coffee Machine Game Show,"Flipchart, iii",Flipchart @ iii,The Hague (NL),The Hague (NL)
2023,,Seminar on Current Applications of Generative AI,Seminar: Generative AI apps,Whello,Whello,Amsterdam (NL),Amsterdam (NL)

2022,Copy Machine / Dream Machine,BODEGA,BODEGA,ISO Amsterdam,ISO Amsterdam,Amsterdam (NL),Amsterdam (NL)
2022,Lasers / MIDIalogue,B.I.O.D.I.V.E.R.S.,B.I.O.D.I.V.E.R.S.,Ruigoord,Ruigoord,Amsterdam (NL),Amsterdam (NL)
2022,Lasers / MIDIalogue,Markt Centraal,Markt Centraal,Markt Centraal,Markt Centraal,Amsterdam (NL),Amsterdam (NL)
2022,Lasers / MIDIalogue,Fevertraum,Fevertraum,Garage Noord,Garage Noord,Amsterdam (NL),Amsterdam (NL)
2022,Lasers / MIDIalogue,A Perception of Space and Time II,A Perception of Space & Time II,De School,De School,Amsterdam (NL),Amsterdam (NL)

2021,Lasers / MIDIalogue,A Perception of Space and Time I,A Perception of Space & Time I,De School,De School,Amsterdam (NL),Amsterdam (NL)
2021,Lasers / MIDIalogue,Machine Learning for Creativity and Design,ML for Creativity and Design,NeurIPS,NeurIPS,Vancouver (CA),Vancouver (CA)
2021,Lasers / MIDIalogue,Traumburg Festival,Traumburg Festival,Traumburg Festival,Traumburg Festival,Dornburg (DE),Dornburg (DE)
2021,,"Towards Lightweight Controllable Audio Synthesis with Conditional Implicit Neural Representations",Towards Lightweight Audio PCINRs,NeurIPS,NeurIPS,Vancouver (CA),Vancouver (CA)

2020,,"Seminars for MSc Artificial Intelligence's Deep Learning course",Seminars: DL course (MSc AI),University of Amsterdam,University of Amsterdam,Amsterdam (NL),Amsterdam (NL)
